epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.044,1.61097,8.39273,1.3913,0.00056,0.16667,0.00038,0.00019,1.84315,20.745,1.42821,2e-05,2e-05,2e-05
2,28.3017,1.45662,5.49411,1.4657,0.00056,0.16667,0.00045,0.00023,1.7778,9.96239,1.36392,4.02e-05,4.02e-05,4.02e-05
3,40.7518,1.53704,4.05744,1.43611,0.00056,0.16667,0.00073,0.0005,1.63508,8.44345,1.29417,3.4e-05,3.4e-05,3.4e-05
